_link,id,tag,date,ocid,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_mainProcurementCategory,tender_awardCriteriaDetails,tender_description,tender_hasEnquiries,tender_eligibilityCriteria,tender_awardCriteria,tender_procurementMethod,tender_procurementMethodRationale,tender_numberOfTenderers,tender_value_amount,tender_value_currency,tender_minValue_amount,tender_minValue_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,planning_rationale,planning_budget_id,planning_budget_description,planning_budget_project,planning_budget_projectID,planning_budget_amount_amount,planning_budget_amount_currency,tender_awardPeriod_startDate,tender_awardPeriod_endDate
4209,ocds-rw2stw-RMRAMDP-4109/001/2074/2075-2017-12-18T17:00:00+05:45,compiled,2017-12-18T17:00:00+05:45,ocds-rw2stw-RMRAMDP-4109/001/2074/2075,tender,01f473b23416240a49e650b183984c3b,"Rail,Metro Rail and Monorail Development Project",RMRAMDP-4109/001/2074/2075,"Construction of Maraha River, Bardibas road 1 and Bardibas road 2 road crossing PSC Beam Bridge",NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-01-31T12:00:00+05:45,2017-12-18T17:00:00+05:45,2018-01-21T12:00:00+05:45,2017-12-18T17:00:00+05:45,null,337307,Government Budget,"Construction of Maraha River, Bardibas road 1 and Bardibas road 2 road crossing PSC Beam Bridge",4109,n/a,NPR,,
4210,ocds-rw2stw-RRMO-10980/RG-05-074/75-2018-05-20T10:00:00+05:45,compiled,2018-05-20T10:00:00+05:45,ocds-rw2stw-RRMO-10980/RG-05-074/75,tender,a0b59f60c9fed6a46e920008df4cbc5a,Rishing rural municipal office,RRMO-10980/RG-05-074/75,Construction of Dhakre Khola Bridge at Tanahun District,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-06-19T12:00:00+05:45,2018-05-20T10:00:00+05:45,2018-06-09T12:00:00+05:45,2018-05-20T10:00:00+05:45,null,Bridge-074/75,Government Budget,Construction of Dhakre Khola Bridge at Tanahun District,10980,n/a,NPR,,
4211,ocds-rw2stw-RMRAMDP-4184/00001/2074/75-2017-12-19T12:15:00+05:45,compiled,2017-12-19T12:15:00+05:45,ocds-rw2stw-RMRAMDP-4184/00001/2074/75,tender,01f473b23416240a49e650b183984c3b,"Rail,Metro Rail and Monorail Development Project",RMRAMDP-4184/00001/2074/75,'Name of Works and Location: Construction of Banke and Babhsi River IPC Beam Bridge,NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-01-31T12:00:00+05:45,2017-12-19T12:15:00+05:45,2018-01-21T12:00:00+05:45,2017-12-19T12:15:00+05:45,null,337307,Government Budget,'Name of Works and Location: Construction of Banke and Babhsi River IPC Beam Bridge,4184,n/a,NPR,,
4212,ocds-rw2stw-RMRAMDP-4182/0001/2074/075-2017-12-18T17:45:00+05:45,compiled,2017-12-18T17:45:00+05:45,ocds-rw2stw-RMRAMDP-4182/0001/2074/075,tender,01f473b23416240a49e650b183984c3b,"Rail,Metro Rail and Monorail Development Project",RMRAMDP-4182/0001/2074/075,"Name of Works and Location: Construction of Jangha, Soni and Barbe River PSC and IPC Beam Bridge",NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-01-31T12:00:00+05:45,2017-12-18T17:45:00+05:45,2018-01-21T12:00:00+05:45,2017-12-18T17:45:00+05:45,null,337307,Government Budget,"Name of Works and Location: Construction of Jangha, Soni and Barbe River PSC and IPC Beam Bridge",4182,n/a,NPR,,
4213,ocds-rw2stw-RRMO-11597/RRM/G/NCB/TAN/07(074/75)-2018-06-07T00:00:00+05:45,compiled,2018-06-07T00:00:00+05:45,ocds-rw2stw-RRMO-11597/RRM/G/NCB/TAN/07(074/75),tender,a0b59f60c9fed6a46e920008df4cbc5a,Rishing rural municipal office,RRMO-11597/RRM/G/NCB/TAN/07(074/75),The Procurement and Supply of Fully Galvanized Steel Tubular Poles for Rural Transmission and Distribution System,NCB,active,goods,,,false,,,open,,2,0,NPR,0,NPR,2018-07-08T12:00:00+05:45,2018-06-07T00:00:00+05:45,2018-06-28T12:00:00+05:45,2018-06-07T00:00:00+05:45,null,Electrictity/074/75,Government Budget,The Procurement and Supply of Fully Galvanized Steel Tubular Poles for Rural Transmission and Distribution System,11597,n/a,NPR,,
4214,ocds-rw2stw-RRARSDPR-6029/DoLIDAR/RRRSDP/NCB-1/2074/075-2018-02-28T06:00:00+05:45,compiled,2018-02-28T06:00:00+05:45,ocds-rw2stw-RRARSDPR-6029/DoLIDAR/RRRSDP/NCB-1/2074/075,tender,24c7938b7bbbaf28aa332ca404506a57,Rural Reconstruction and Rehabilitation Sector Development Program (RRRSDP),RRARSDPR-6029/DoLIDAR/RRRSDP/NCB-1/2074/075,Procurement of 4 WD Pick up Vehicle,NCB,active,goods,,,false,,,open,,2,0,NPR,0,NPR,2018-04-01T12:00:00+05:45,2018-02-28T06:00:00+05:45,2018-03-22T12:00:00+05:45,2018-02-28T06:00:00+05:45,null,365806,Government Budget,Procurement of 4 WD Pick up Vehicle,6029,n/a,NPR,,
4215,ocds-rw2stw-RPK-601/073-074/11 -2017-03-29T00:00:00+05:45,compiled,2017-03-29T00:00:00+05:45,ocds-rw2stw-RPK-601/073-074/11 ,tender,6de3c1e2c2a2e99f11b0a3868b98715e,"RMSO Pokhara, Kaski",RPK-601/073-074/11 ,"Different Works of  Lekhnath Co-Financing Water Supply and Sanitation Project, Kaski  ",NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2017-04-28T12:00:00+05:45,2017-03-29T00:00:00+05:45,2017-04-18T12:00:00+05:45,2017-03-29T00:00:00+05:45,null,313111,Government Budget,"Different Works of  Lekhnath Co-Financing Water Supply and Sanitation Project, Kaski  ",601,n/a,NPR,,
4216,ocds-rw2stw-RRD-824/03/073/074-2017-04-26T06:00:00+05:45,compiled,2017-04-26T06:00:00+05:45,ocds-rw2stw-RRD-824/03/073/074,tender,685500396e4ba16acc89a391be90040a,"RSMO Rajpur, Doti",RRD-824/03/073/074,Procurement HDPE Pipes,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-05-26T14:00:00+05:45,2017-04-26T06:00:00+05:45,2017-05-16T14:00:00+05:45,2017-04-26T06:00:00+05:45,null,313802/803,Government Budget,Procurement HDPE Pipes,824,n/a,NPR,,
4217,ocds-rw2stw-RVPL-5305/RVPL/G/NCB/06/2074-075-2018-01-12T05:00:00+05:45,compiled,2018-01-12T05:00:00+05:45,ocds-rw2stw-RVPL-5305/RVPL/G/NCB/06/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-5305/RVPL/G/NCB/06/2074-075,"Supply, Delivery and Installation of Vaccine refrigerator (Package_4)",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-02-12T12:00:00+05:45,2018-01-12T05:00:00+05:45,2018-02-02T12:00:00+05:45,2018-01-12T05:00:00+05:45,null,3271013/4,Government Budget,"Supply, Delivery and Installation of Vaccine refrigerator (Package_4)",5305,n/a,NPR,,
4218,ocds-rw2stw-RPK-4874/04/074-75/RMSO/Kaski-2018-01-12T00:00:00+05:45,compiled,2018-01-12T00:00:00+05:45,ocds-rw2stw-RPK-4874/04/074-75/RMSO/Kaski,tender,6de3c1e2c2a2e99f11b0a3868b98715e,"RMSO Pokhara, Kaski",RPK-4874/04/074-75/RMSO/Kaski,Construction works for Lekhnath II Co-financing Water Supply and Sanitation Project,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-02-11T12:00:00+05:45,2018-01-12T00:00:00+05:45,2018-02-01T12:00:00+05:45,2018-01-12T00:00:00+05:45,null,313111,Government Budget,Construction works for Lekhnath II Co-financing Water Supply and Sanitation Project,4874,n/a,NPR,2018-05-13T19:37:54+05:45,
4219,ocds-rw2stw-RVPL-1969/IfB no: RVPL/G/NCB/02/2074-075-2017-09-17T05:00:00+05:45,compiled,2017-09-17T05:00:00+05:45,ocds-rw2stw-RVPL-1969/IfB no: RVPL/G/NCB/02/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-1969/IfB no: RVPL/G/NCB/02/2074-075,Supply and delivery of roller bottles ,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-10-17T12:00:00+05:45,2017-09-17T05:00:00+05:45,2017-10-07T12:00:00+05:45,2017-09-17T05:00:00+05:45,null,12345,Government Budget,Supply and delivery of roller bottles ,1969,n/a,NPR,,
4220,ocds-rw2stw-RVPL-108/GoN/RVPL/W/NCB/1S2E/073/74/02-2017-01-31T11:00:00+05:45,compiled,2017-01-31T11:00:00+05:45,ocds-rw2stw-RVPL-108/GoN/RVPL/W/NCB/1S2E/073/74/02,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-108/GoN/RVPL/W/NCB/1S2E/073/74/02,Construction of Laboratory Building for Rabies Vaccine Production Laboratory        ,NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-03-02T12:00:00+05:45,2017-01-31T11:00:00+05:45,2017-02-20T12:00:00+05:45,2017-01-31T11:00:00+05:45,null,29221,Government Budget,Construction of Laboratory Building for Rabies Vaccine Production Laboratory        ,108,n/a,NPR,,
4221,ocds-rw2stw-RRM-3350/W1/2074/75-2017-11-19T00:00:00+05:45,compiled,2017-11-19T00:00:00+05:45,ocds-rw2stw-RRM-3350/W1/2074/75,tender,c7eb98d032c9704338aaf1b87b1bdae7,Roshi Rural Municipality,RRM-3350/W1/2074/75,Upgrading of Chaukidanda Khaharepangu Road (Phase I),NCB,active,works,,,false,,,open,,8,0,NPR,0,NPR,2017-12-26T12:00:00+05:45,2017-11-19T00:00:00+05:45,2017-12-16T12:00:00+05:45,2017-11-19T00:00:00+05:45,null,12535,Government Budget,Upgrading of Chaukidanda Khaharepangu Road (Phase I),3350,n/a,NPR,,
4222,ocds-rw2stw-SBDSD-11435/MM:NCB-01/074/75-2018-05-30T15:00:00+05:45,compiled,2018-05-30T15:00:00+05:45,ocds-rw2stw-SBDSD-11435/MM:NCB-01/074/75,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-11435/MM:NCB-01/074/75,Protection work of Damdwali Trail Bridge ,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-06-29T12:00:00+05:45,2018-05-30T15:00:00+05:45,2018-06-19T12:00:00+05:45,2018-05-30T15:00:00+05:45,null,3658094,Government Budget,Protection work of Damdwali Trail Bridge ,11435,n/a,NPR,,
4223,ocds-rw2stw-RVPL-5302/RVPL/G/NCB/05/2074-075-2018-01-12T05:00:00+05:45,compiled,2018-01-12T05:00:00+05:45,ocds-rw2stw-RVPL-5302/RVPL/G/NCB/05/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-5302/RVPL/G/NCB/05/2074-075,"Supply, Delivery and Installation of Laboratory Equipments for Quality Control Lab (Package_3)",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-02-12T12:00:00+05:45,2018-01-12T05:00:00+05:45,2018-02-02T12:00:00+05:45,2018-01-12T05:00:00+05:45,null,3271013/4,Government Budget,"Supply, Delivery and Installation of Laboratory Equipments for Quality Control Lab (Package_3)",5302,n/a,NPR,,
4224,ocds-rw2stw-SAMROB-10895/SMROB/Works/NCB/01/074-75-2018-05-22T12:00:00+05:45,compiled,2018-05-22T12:00:00+05:45,ocds-rw2stw-SAMROB-10895/SMROB/Works/NCB/01/074-75,tender,4af86b1a34871fce19f84beb912d110d,Standards and Metrology Regional office Birgunj,SAMROB-10895/SMROB/Works/NCB/01/074-75,"Construction of Regional Office of Standard and Metrology at Birgunj, Parsa   ",NCB,active,works,,,false,,,open,,4,0,NPR,0,NPR,2018-06-22T12:00:00+05:45,2018-05-22T12:00:00+05:45,2018-06-12T12:00:00+05:45,2018-05-22T12:00:00+05:45,null,3070174,Government Budget,"Construction of Regional Office of Standard and Metrology at Birgunj, Parsa   ",10895,n/a,NPR,,
4225,ocds-rw2stw-SBDSD-1323/NCB-35/073/74-2017-07-14T15:00:00+05:45,compiled,2017-07-14T15:00:00+05:45,ocds-rw2stw-SBDSD-1323/NCB-35/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1323/NCB-35/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Kamalpur Multispan Trail Bridge Through NCB",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-08-15T12:00:00+05:45,2017-07-14T15:00:00+05:45,2017-08-05T12:00:00+05:45,2017-07-14T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Kamalpur Multispan Trail Bridge Through NCB",1323,n/a,NPR,,
4226,ocds-rw2stw-SBDSD-11433/MM:SQ-02/074/75-2018-06-28T10:00:00+05:45,compiled,2018-06-28T10:00:00+05:45,ocds-rw2stw-SBDSD-11433/MM:SQ-02/074/75,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-11433/MM:SQ-02/074/75,Ramp Construction work of Sundari Khola Suspension Bridge,Sealed Quotation,active,works,,,false,,,open,,3,0,NPR,0,NPR,2018-07-13T12:00:00+05:45,2018-06-28T10:00:00+05:45,2018-06-28T12:00:00+05:45,2018-06-28T10:00:00+05:45,null,3658094,,Ramp Construction work of Sundari Khola Suspension Bridge,11433,n/a,NPR,,
4227,ocds-rw2stw-SBDSD-1184/CTP-34/073/74-2017-06-12T15:00:00+05:45,compiled,2017-06-12T15:00:00+05:45,ocds-rw2stw-SBDSD-1184/CTP-34/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1184/CTP-34/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Simli garayal Trail Suspended Bridge, Rukum and Shyamkachola Trail Suspended Bridge, Baglung Trail Bridges Through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-07-12T12:00:00+05:45,2017-06-12T15:00:00+05:45,2017-07-02T12:00:00+05:45,2017-06-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Simli garayal Trail Suspended Bridge, Rukum and Shyamkachola Trail Suspended Bridge, Baglung Trail Bridges Through Construction Turnkey Packages (CTP)",1184,n/a,NPR,,
4228,ocds-rw2stw-SBDSD-1204/CTP-28/073/74-2017-06-12T15:00:00+05:45,compiled,2017-06-12T15:00:00+05:45,ocds-rw2stw-SBDSD-1204/CTP-28/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1204/CTP-28/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Kamalbaniyani Trail Suspension Bridge Jhapa 271m/N, Jate Trail Suspension Bridge Morang 235m/N through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-07-12T12:00:00+05:45,2017-06-12T15:00:00+05:45,2017-07-02T12:00:00+05:45,2017-06-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Kamalbaniyani Trail Suspension Bridge Jhapa 271m/N, Jate Trail Suspension Bridge Morang 235m/N through Construction Turnkey Packages (CTP)",1204,n/a,NPR,,
4229,ocds-rw2stw-SB-4700/Shamsherdal/2074/75/03-2017-12-31T00:00:00+05:45,compiled,2017-12-31T00:00:00+05:45,ocds-rw2stw-SB-4700/Shamsherdal/2074/75/03,tender,ddf6b322d483472358db9b278a5267a9,Samsherdal Battalion,SB-4700/Shamsherdal/2074/75/03,Ration Tender for Shamsher Dal Battalion,NCB,active,goods,,,false,,,open,,3,0,NPR,0,NPR,2018-01-16T12:00:00+05:45,2017-12-31T00:00:00+05:45,2018-01-06T12:00:00+05:45,2017-12-31T00:00:00+05:45,null,3450133,Government Budget,Ration Tender for Shamsher Dal Battalion,4700,n/a,NPR,,
4230,ocds-rw2stw-SBDSD-1209/CTP-32/073/74-2017-06-12T15:00:00+05:45,compiled,2017-06-12T15:00:00+05:45,ocds-rw2stw-SBDSD-1209/CTP-32/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1209/CTP-32/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Hattikot Trail Suspended Bridge Achham, Sabala Chamara Trail Suspended Bridge Achham and Sunuwara Trail Suspension Bridge Kanchanpur through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-07-12T12:00:00+05:45,2017-06-12T15:00:00+05:45,2017-07-02T12:00:00+05:45,2017-06-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Hattikot Trail Suspended Bridge Achham, Sabala Chamara Trail Suspended Bridge Achham and Sunuwara Trail Suspension Bridge Kanchanpur through Construction Turnkey Packages (CTP)",1209,n/a,NPR,,
4231,ocds-rw2stw-SB-2469/Suryadal/074/75/1-2017-10-12T16:00:00+05:45,compiled,2017-10-12T16:00:00+05:45,ocds-rw2stw-SB-2469/Suryadal/074/75/1,tender,0cb138ac116c175ac251d91f86b04661,SURYADAL BN,SB-2469/Suryadal/074/75/1,Suryadal BN Ration Tender 074/75,NCB,active,goods,,,false,,,open,,4,0,NPR,0,NPR,2017-11-13T12:00:00+05:45,2017-10-12T16:00:00+05:45,2017-11-03T12:00:00+05:45,2017-10-12T16:00:00+05:45,null,21122,Government Budget,Suryadal BN Ration Tender 074/75,2469,n/a,NPR,,
4232,ocds-rw2stw-SBDSD-691/CTP-21/073/74-2017-04-12T15:00:00+05:45,compiled,2017-04-12T15:00:00+05:45,ocds-rw2stw-SBDSD-691/CTP-21/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-691/CTP-21/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Purano ghat and Kanara Trail Bridges Through Construction Turnkey Packages (CTP)  ",NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2017-05-12T12:00:00+05:45,2017-04-12T15:00:00+05:45,2017-05-02T12:00:00+05:45,2017-04-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Purano ghat and Kanara Trail Bridges Through Construction Turnkey Packages (CTP)  ",691,n/a,NPR,,
4233,ocds-rw2stw-SBDSD-667/CTP- 14/073/74-2017-04-12T15:00:00+05:45,compiled,2017-04-12T15:00:00+05:45,ocds-rw2stw-SBDSD-667/CTP- 14/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-667/CTP- 14/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Kebabesi Trail Bridge Through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-05-12T12:00:00+05:45,2017-04-12T15:00:00+05:45,2017-05-02T12:00:00+05:45,2017-04-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Kebabesi Trail Bridge Through Construction Turnkey Packages (CTP)",667,n/a,NPR,,
4234,ocds-rw2stw-RVPL-5300/RVPL/G/NCB/04/2074-075-2018-01-12T05:00:00+05:45,compiled,2018-01-12T05:00:00+05:45,ocds-rw2stw-RVPL-5300/RVPL/G/NCB/04/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-5300/RVPL/G/NCB/04/2074-075,"Supply, Delivery and Installation of Laboratory Equipments for Quality Control Lab",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-02-12T12:00:00+05:45,2018-01-12T05:00:00+05:45,2018-02-02T12:00:00+05:45,2018-01-12T05:00:00+05:45,null,3271013/4,Government Budget,"Supply, Delivery and Installation of Laboratory Equipments for Quality Control Lab",5300,n/a,NPR,,
4235,ocds-rw2stw-SBDSD-1318/CTP- 18/073/74-2017-07-14T15:00:00+05:45,compiled,2017-07-14T15:00:00+05:45,ocds-rw2stw-SBDSD-1318/CTP- 18/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1318/CTP- 18/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Rapti Lamahi and Surahi Khola Trail Bridges Through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-08-15T12:00:00+05:45,2017-07-14T15:00:00+05:45,2017-08-05T12:00:00+05:45,2017-07-14T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Rapti Lamahi and Surahi Khola Trail Bridges Through Construction Turnkey Packages (CTP)",1318,n/a,NPR,,
4236,ocds-rw2stw-SBDSD-11436/MM:NCB-02/074/75-2018-05-30T15:00:00+05:45,compiled,2018-05-30T15:00:00+05:45,ocds-rw2stw-SBDSD-11436/MM:NCB-02/074/75,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-11436/MM:NCB-02/074/75,Trail Construction work of Dhey Khola Trail Bridge,NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2018-06-29T12:00:00+05:45,2018-05-30T15:00:00+05:45,2018-06-19T12:00:00+05:45,2018-05-30T15:00:00+05:45,null,3658094,Government Budget,Trail Construction work of Dhey Khola Trail Bridge,11436,n/a,NPR,,
4237,ocds-rw2stw-SA-8067/074/75/12-2018-03-19T00:10:00+05:45,compiled,2018-03-19T00:10:00+05:45,ocds-rw2stw-SA-8067/074/75/12,tender,3193f1df2e45bdf68fc9b1c73de27957,Sundarijal Arsenal,SA-8067/074/75/12,Supply of Copper sheet,NCB,active,goods,,,false,,,open,,5,0,NPR,0,NPR,2018-04-18T12:00:00+05:45,2018-03-19T00:10:00+05:45,2018-04-08T12:00:00+05:45,2018-03-19T00:10:00+05:45,null,3140113,Government Budget,Supply of Copper sheet,8067,n/a,NPR,,
4238,ocds-rw2stw-RVPL-1971/IfB no: RVPL/G/NCB/01/2074-075-2017-09-17T05:00:00+05:45,compiled,2017-09-17T05:00:00+05:45,ocds-rw2stw-RVPL-1971/IfB no: RVPL/G/NCB/01/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-1971/IfB no: RVPL/G/NCB/01/2074-075,Supply and delivery of glass vials,NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2017-10-17T12:00:00+05:45,2017-09-17T05:00:00+05:45,2017-10-07T12:00:00+05:45,2017-09-17T05:00:00+05:45,null,12345,Government Budget,Supply and delivery of glass vials,1971,n/a,NPR,,
4239,ocds-rw2stw-SBDSD-1208/CTP-31/073/74-2017-06-12T15:00:00+05:45,compiled,2017-06-12T15:00:00+05:45,ocds-rw2stw-SBDSD-1208/CTP-31/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-1208/CTP-31/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Ratamata Shyalakot Suspension Trail Bridge Jumla,Jansa Suspended Trail Bridge Dailekh/Achham and Tulla Segaudi Suspension Bridge Dailekh/Achham through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,0,0,NPR,0,NPR,2017-07-12T12:00:00+05:45,2017-06-12T15:00:00+05:45,2017-07-02T12:00:00+05:45,2017-06-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Ratamata Shyalakot Suspension Trail Bridge Jumla,Jansa Suspended Trail Bridge Dailekh/Achham and Tulla Segaudi Suspension Bridge Dailekh/Achham through Construction Turnkey Packages (CTP)",1208,n/a,NPR,,
4240,ocds-rw2stw-RVPL-5294/RVPL/G/NCB/03/2074-075-2018-01-12T00:00:00+05:45,compiled,2018-01-12T00:00:00+05:45,ocds-rw2stw-RVPL-5294/RVPL/G/NCB/03/2074-075,tender,a0cb21a822f02531d85fef440305cc24,Rabies Vaccine Production Laboratory,RVPL-5294/RVPL/G/NCB/03/2074-075,"Supply, Delivery and Installation of Upright Fluorescence Microscope for Quality Control Lab",NCB,active,goods,,,false,,,open,,0,0,NPR,0,NPR,2018-02-12T12:00:00+05:45,2018-01-12T00:00:00+05:45,2018-02-02T12:00:00+05:45,2018-01-12T00:00:00+05:45,null,3271013/4,Government Budget,"Supply, Delivery and Installation of Upright Fluorescence Microscope for Quality Control Lab",5294,n/a,NPR,,
4241,ocds-rw2stw-SA-8068/074/75/13-2018-03-19T00:10:00+05:45,compiled,2018-03-19T00:10:00+05:45,ocds-rw2stw-SA-8068/074/75/13,tender,3193f1df2e45bdf68fc9b1c73de27957,Sundarijal Arsenal,SA-8068/074/75/13,"Supply of Brass sheet, Brass wire and Medal box",NCB,active,goods,,,false,,,open,,5,0,NPR,0,NPR,2018-04-18T12:00:00+05:45,2018-03-19T00:10:00+05:45,2018-04-08T12:00:00+05:45,2018-03-19T00:10:00+05:45,null,3140113,Government Budget,"Supply of Brass sheet, Brass wire and Medal box",8068,n/a,NPR,,
4242,ocds-rw2stw-SBDSD-685/CTP-18/073/74-2017-04-12T15:00:00+05:45,compiled,2017-04-12T15:00:00+05:45,ocds-rw2stw-SBDSD-685/CTP-18/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-685/CTP-18/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Rapti Lamahi and Surahi Khola Trail Bridges Through Construction Turnkey Packages (CTP)",NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2017-05-12T12:00:00+05:45,2017-04-12T15:00:00+05:45,2017-05-02T12:00:00+05:45,2017-04-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Rapti Lamahi and Surahi Khola Trail Bridges Through Construction Turnkey Packages (CTP)",685,n/a,NPR,,
4243,ocds-rw2stw-SBDSD-693/CTP-23/073/74-2017-04-12T15:00:00+05:45,compiled,2017-04-12T15:00:00+05:45,ocds-rw2stw-SBDSD-693/CTP-23/073/74,tender,4ae850bc3de70f7a05f1cbb59e961356,"Suspension Bridge Division (SBD), DoLIDAR",SBDSD-693/CTP-23/073/74,"Fabrication, Supply, Transportation, Construction and Erection of Barrachour Purtighat and Hastichaur Trail Bridges Through Construction Turnkey Packages (CTP)  ",NCB,active,works,,,false,,,open,,1,0,NPR,0,NPR,2017-05-12T12:00:00+05:45,2017-04-12T15:00:00+05:45,2017-05-02T12:00:00+05:45,2017-04-12T15:00:00+05:45,null,3658094,Government Budget,"Fabrication, Supply, Transportation, Construction and Erection of Barrachour Purtighat and Hastichaur Trail Bridges Through Construction Turnkey Packages (CTP)  ",693,n/a,NPR,,
4244,ocds-rw2stw-SB-2360/074/75/2-2017-10-12T00:00:00+05:45,compiled,2017-10-12T00:00:00+05:45,ocds-rw2stw-SB-2360/074/75/2,tender,27d2cf5fba6ca45f9ffc86de968a1081,SHREENATH BN,SB-2360/074/75/2,SHREENATH BN. RATION TENDER 2074/75,NCB,active,goods,,,false,,,open,,9,0,NPR,0,NPR,2017-11-13T12:00:00+05:45,2017-10-12T00:00:00+05:45,2017-11-03T12:00:00+05:45,2017-10-12T00:00:00+05:45,null,3450133,Government Budget,SHREENATH BN. RATION TENDER 2074/75,2360,n/a,NPR,,
