"District","Contractor"
"Kathmandu","AKASH MEDICINE DISTRIBUTORS PVT.LTD."
"Kathmandu","AMBUJA CONSTRUCTION PVT. LTD."
"Kathmandu","Aanjaneya Construction and Suppliers"
"Kathmandu","Aarambha Multi Services"
"Kathmandu","Aariz M.H Construction Pvt.Ltd"
"Kathmandu","Aariz M.H. Construction Pvt.Ltd.,Kathmandu"
"Kathmandu","Aashray Nirman Sewa Pvt.Ltd"
"Kathmandu","Abiskar Nirman pvt.ltd."
"Kathmandu","Action Active Energy Pvt.Ltd."
"Kathmandu","Adhikari-Birat JV,"
"Kathmandu","Adhikari/ Upper Tamakoshi JV"
"Kathmandu","Akela- Babiromast JV"
"Kathmandu","Ambuja Construction Pvt. Ltd."
"Kathmandu","Amrit/Kashyap J.V."
"Kathmandu","Anjana-RD-RS JV"
"Kathmandu","Anjana/Kalika/Parajuli JV"
"Kathmandu","Anshubi-Pushpanjali-Swornim JV"
"Kathmandu","Ansuman-Rubina JV"
"Kathmandu","Ansuman/Adhikari/Chandrodaya JV"
"Kathmandu","Ansuman/Rubina JV"
"Kathmandu","Anusthan Construction Pvt.Ltd."
"Kathmandu","Apex Construction Company Pvt. Ltd."
"Kathmandu","Artcon Construction & Consulting Pvt.Ltd"
"Kathmandu","Ascot Construction Pvt. Ltd."
"Kathmandu","Ashok Lama"
"Kathmandu","B & B-Jagadamba JV"
"Kathmandu","B.L.T./Babiromast/ Buddha Himali JV"
"Kathmandu","B.L.T./Lekhraj J.V."
"Kathmandu","B.S. TRADING"
"Kathmandu","BALAJU NIRMAN SEWA"
"Kathmandu","BISHWOJYOTI BUILDERS PVT. LTD."
"Kathmandu","BLUESKY CONSTRUCTION PVT.LTD."
"Kathmandu","BN-Trishakti JV"
"Kathmandu","Baisdhara Nirman Sewa/Bishwojit Nirman Sewa JV"
"Kathmandu","Bajra Guru-B & B JV"
"Kathmandu","Baladev Builders Pvt. Ltd."
"Kathmandu","Baladev Builders Pvt.Ltd"
"Kathmandu","Basanta Budhathoki/Sher Bahadur shrestha"
"Kathmandu","Bhusal Construction & Suppliers Pvt.Ltd."
"Kathmandu","Bibash International Construction and Suppliers Pvt. Ltd."
"Kathmandu","Bigtech Office System"
"Kathmandu","Bio Engineering Construction"
"Kathmandu","Bright / Kshitz/ Jejaswi J.V. Kathmandu."
"Kathmandu","Buddhi Bahadur Shrestha"
"Kathmandu","C.M/Krishna Laxmi Slate J.v"
"Kathmandu","C.M/Krishna Laxmi/ Slate J.V."
"Kathmandu","C.N. ENTERPRISES"
"Kathmandu","Chandra Tila Construction and Suppliers"
"Kathmandu","Chandrodaya JV Api Point"
"Kathmandu","Contech Pvt. Ltd"
"Kathmandu","Creative Builders"
"Kathmandu","Creative Business Enterprises"
"Kathmandu","Creative business enterprises"
"Kathmandu","DHULIKHEL NIRMAN SEWA PVT. LTD."
"Kathmandu","Dakshya engineering construction pvt.ltd"
"Kathmandu","Dawa Public J.V."
"Kathmandu","Dawa-Public J.V."
"Kathmandu","Deurali Engineering Company Pvt. Ltd."
"Kathmandu","Deurali Engineering Company Pvt.Ltd"
"Kathmandu","Dharma S./Kashyap JV"
"Kathmandu","Dhukuchhu Construction Company Pvt.Ltd."
"Kathmandu","Dhukuchhu Constructions Pvt.Ltd."
"Kathmandu","Dhulikhel Nirman Sewa Pvt.Ltd."
"Kathmandu","Dhulikhel-Axis Asian J.V."
"Kathmandu","Dhulikhel-ID-Swornim JV"
"Kathmandu","Dhulikhel-Jagadamba-B Lama JV"
"Kathmandu","Dolakha Bhimeshwore Construction"
"Kathmandu","Drabya Engineering Solution"
"Kathmandu","Dragon-Jagadamba JV"
"Kathmandu","Dragon/Jagadamba JV"
"Kathmandu","Elite Construction Co.Pvt.Ltd"
"Kathmandu","Elite-B.L.T. JV"
"Kathmandu","Elite-Rubina JV"
"Kathmandu","Elite-Rubina JV,"
"Kathmandu","Elite-Rubina JV, KMC-10, Baneshwor"
"Kathmandu","Elite/B.L.T. JV"
"Kathmandu","Freeman Business"
"Kathmandu","Freeman Business Pvt. Ltd"
"Kathmandu","Freeman Bussiness P.Ltd"
"Kathmandu","G.U.P. pvt. Ltd."
"Kathmandu","GOLDEN CONSTRUCTION"
"Kathmandu","GREENTARA-THAMSERKU JV"
"Kathmandu","GS Thokar Construction"
"Kathmandu","Gajurmukhi NS jv"
"Kathmandu","Galwa Nirman Sewa"
"Kathmandu","Galwa-Jagadamba J/V"
"Kathmandu","Galwa/Jagadamba/Surma Sarobar J/V"
"Kathmandu","Galwa/Pushpanjali J.V"
"Kathmandu","Gauri Parbati/K & KG J/V"
"Kathmandu","Get Construction"
"Kathmandu","Global International Traders, Gothatar."
"Kathmandu","Golden Life Construction & Suppliers Pvt. Ltd."
"Kathmandu","Gopidurga Construction Pvt. Ltd"
"Kathmandu","Gopini Ganga  Engineering Nirman and Suppliers Pvt. Ltd."
"Kathmandu","Gorkha Construction Company Nepal (P) Ltd."
"Kathmandu","Gorkha kalika Construction Nepal"
"Kathmandu","Gorkha-Ansuman JV"
"Kathmandu","Gorkhali  Brothers  Construction Tarkeshwor-11, Kathmandu"
"Kathmandu","Green Peace Builders Pvt. Ltd"
"Kathmandu","Green peace Builders Pvt.Ltd"
"Kathmandu","Grid/Yab Yum JV"
"Kathmandu","Guangzhou-Lama-Raman Joint Venture"
"Kathmandu","Gulliver World construction Pvt. Ltd"
"Kathmandu","Hari Hari Nirman Sewa Pvt Ltd"
"Kathmandu","Hira and Bishnu Construction pvt.ltd"
"Kathmandu","Hirachan/BLT JV"
"Kathmandu","I.D.-Anshubi-Ansuman JV"
"Kathmandu","I.D./Swornim JV"
"Kathmandu","I.P. STATIONERY & GENERAL SUPPLIERS"
"Kathmandu","INDRENI INFRASTRUCTURE PVT. LTD."
"Kathmandu","Immortal Construction Pvt. Ltd"
"Kathmandu","Indrayani-Rakta Kanya JV"
"Kathmandu","J.K.-Jeevan-Upper Tamakoshi JV"
"Kathmandu","J.K.D CONSTRUCTION"
"Kathmandu","J.S.S. Engineering Services P. Ltd."
"Kathmandu","J.S.S. Engineering Services Private Limited Prahalad Sha"
"Kathmandu","JALAPA NIRMAN SEWA AND SUPPLIERS"
"Kathmandu","JENISHA DEVI CONSTRUCTION PVT.LTD"
"Kathmandu","Jagadamba Builders Pvt. Ltd."
"Kathmandu","Jagadamba Nirman Company Pvt.Ltd"
"Kathmandu","Jagadamba Nrrman Company Pvt Ltd"
"Kathmandu","Jagadamba-Rujan-Sajiv JV"
"Kathmandu","Jagadamba-Rujan-Unicorn JV"
"Kathmandu","Jagadamba/Dovan/Sangam JV"
"Kathmandu","Jagriti Nirman Sewa Pvt.Ltd"
"Kathmandu","Jaljala Nirman Sewa pvt.ltd."
"Kathmandu","Jay Kalika Builders and Engineering Pvt. Ltd"
"Kathmandu","K. & K.G. CONSTRUCTION CO. (P.) LTD."
"Kathmandu","K.& K.G CONSTRUCTION CO. (P.) LTD."
"Kathmandu","K.B.K CONSTRUCTION PVT. LTD."
"Kathmandu","K.B.K. Construction Pvt. Ltd."
"Kathmandu","KALIKA BUILDERS PVT. LTD."
"Kathmandu","Kabindra/Nawasirjanshil J/V"
"Kathmandu","Kadel-Dhartimata joint Venture"
"Kathmandu","Kalika Builders (P.) Ltd."
"Kathmandu","Kalika Nirman Sewa Sinmangal"
"Kathmandu","Kalika Vedanshee J.V."
"Kathmandu","Kalpabrichhya Builders Pvt.Ltd"
"Kathmandu","Kanchharam - Kamaljit - Ganesh & Ganga JV"
"Kathmandu","Kanchharam-I.D.-Swarnim J.V"
"Kathmandu","Kanchharam-Unicorn JV"
"Kathmandu","Kanchharam/Nepal Fulbari/Swornim JV"
"Kathmandu","Karbahi-Guna J.V."
"Kathmandu","Kashyap-Sharmila JV"
"Kathmandu","Khampache Sherpa Nirman Sewa Pvt Ltd"
"Kathmandu","Khampache/ Rubina JV"
"Kathmandu","Kulananda Banjade"
"Kathmandu","Lama /Kanchharam/Nana JV"
"Kathmandu","Lama Construction Company Pvt.Ltd"
"Kathmandu","Lama Pragati Nirman Sewa"
"Kathmandu","Landscape Engineering Consultancy Pvt.Ltd"
"Kathmandu","Laxmi Construction And Lab Testing"
"Kathmandu","Lekhanath Bhusal"
"Kathmandu","Lekhraj-L.B. and Pallavi J.V."
"Kathmandu","Luna Builder & Contractor Pvt. Ltd."
"Kathmandu","Lushan Builders Pvt. Ltd."
"Kathmandu","M.K. Nirman Sewa"
"Kathmandu","M.K.-Mangaldeep J/V"
"Kathmandu","M.S. Printing Solution"
"Kathmandu","M/S   Sanjeeb - Ujjwal Joint Venture, Tarkeshwor, Kathmandu"
"Kathmandu","M/S Bharat Construction-Siddhi Sai JV"
"Kathmandu","M/S Dakshya Engineering Construction Pvt.Ltd. Kirtipur Kathmandu."
"Kathmandu","M/S G.S Thokar Construction Kathmandu."
"Kathmandu","M/S Hotpoint Nepal Pvt.ltd. kathmandu"
"Kathmandu","M/S Kankai- Jayamata- Amar J.V."
"Kathmandu","M/S Lumbini - Mrit Sanjiwani JV"
"Kathmandu","M/S Nagarjun/Siddhagadhi JV"
"Kathmandu","M/S Nagarjun/Siddhagadhi JV,"
"Kathmandu","M/S Perfect Active Solutions Pvt.ltd kathmandu"
"Kathmandu","M/S Prithivi Engineers & Builders Pvt.Ltd."
"Kathmandu","M/S SAP/Aryal Brothers JV"
"Kathmandu","M/S Sapana- Kasthamandap J.V."
"Kathmandu","M/S Yelina Nirman Sewa & Suppliers Pvt.Ltd."
"Kathmandu","M/s Jambuling Construction Company Pvt.Ltd."
"Kathmandu","Mahalaxmi-Bhujel J/V"
"Kathmandu","Mahalaxmi/Jay Dhananjaya J/V"
"Kathmandu","Mahesh-Kamakhya-Satyawati J.V."
"Kathmandu","Malati Construction Company Pvt.Ltd."
"Kathmandu","Mangaldeep Multipurpose"
"Kathmandu","Mangaldeep Multipurpose Pvt.Ltd."
"Kathmandu","Marga  Darsan Construction &Consultancy Pvt.Ltd"
"Kathmandu","Masta Barah Infrastructures pvt.ltd."
"Kathmandu","N.A.B.D. Construction & Supplier's (P) Ltd."
"Kathmandu","N.A.B.D. Construction & Suppliers (Pvt) Ltd."
"Kathmandu","N.G.S. Construction Engineering and Supplier's Pvt.Ltd."
"Kathmandu","Nadiya Construction Pvt., Ltd."
"Kathmandu","National Estate Builders Company Pvt. Ltd."
"Kathmandu","Nerisa Construction Company Pvt. Ltd."
"Kathmandu","New khandadevi-Suru J/V"
"Kathmandu","Nilgiri Nirman Sewa Pvt Ltd"
"Kathmandu","Nilgiri-Kangri JV"
"Kathmandu","Nilgiri/Mahabir JV"
"Kathmandu","Niraj Shrestha"
"Kathmandu","Noble Group of Construction Pvt., Ltd."
"Kathmandu","Noyeda Construction"
"Kathmandu","Oracle Engineering Solution"
"Kathmandu","P.S.S CONSTRUCTION AND SUPPLIERS PVT. LTD."
"Kathmandu","PANCHASTAMBHA CONSTRUCTION & CONSULTANCY PVT. LTD."
"Kathmandu","Palchowk Nirman Sewa"
"Kathmandu","Papipet Nirman"
"Kathmandu","Pasupati/Hari Hari JV"
"Kathmandu","Patle Chuli Builders and Traders"
"Kathmandu","Prabin Construction"
"Kathmandu","Prakash Tara-Hira Builders JV"
"Kathmandu","Praptee Enterprises Pvt.Ltd"
"Kathmandu","Puspanjali / Kalika J.V."
"Kathmandu","Puspanjali/Ralukadevi JV"
"Kathmandu","R&C-NAYA YUG J/V"
"Kathmandu","RAJ & RIWAJ SUPPLIERS PVT. LTD."
"Kathmandu","RAJ AND RIWAJ- DIGO BIKASH JV"
"Kathmandu","RAMITA-AMBUJA CONSTRUCTION J.V"
"Kathmandu","RAMITA-BOHORA JV"
"Kathmandu","Rabina/Multitech JV"
"Kathmandu","Ramsagar builders"
"Kathmandu","Rayamaji Construction Pvt.ltd"
"Kathmandu","Red Chilli Construction Company Pvt. ltd."
"Kathmandu","Rimix Construction Pvt. Ltd"
"Kathmandu","Ruby PearlInternational Pvt.Ltd."
"Kathmandu","Rujan-Jagadamba JV"
"Kathmandu","S.B.A.-Rubina JV"
"Kathmandu","S.O.Construction"
"Kathmandu","SAP/KALIKA /Divya Shakti JV"
"Kathmandu","SAP/Kalika/Divya shakti jv"
"Kathmandu","SHREE PASHUPATINATH CONSTRUCTION"
"Kathmandu","SHREEDEV SUPPLIERS"
"Kathmandu","STAR OFFICE INTERNATIONAL"
"Kathmandu","SUJAN NIRMAN SEWA"
"Kathmandu","SWORNASHREE NIRMAN SEWA"
"Kathmandu","Safe-Ansuman JV,"
"Kathmandu","Sajib-Rujan K JV"
"Kathmandu","Sakwo Engineering Pvt. Ltd."
"Kathmandu","Samyog Construction and Suppliers Pvt. Ltd."
"Kathmandu","Sapna/Uma and Company/ Thani JV"
"Kathmandu","Satyawati Construction Pvt.Ltd."
"Kathmandu","Shiv Shakti Construction Company Pvt., Ltd"
"Kathmandu","Shiva Jyoti Construction And Suppliers"
"Kathmandu","Shiva Shakti- Uma and Company- Kalika JV"
"Kathmandu","Shivashakti Construction Company Pvt. Ltd."
"Kathmandu","Shree Geeta-Thani- Himshikhar JV"
"Kathmandu","Siddhi Sai-Mainachuli JV"
"Kathmandu","Sires Engineering & Construction Pvt. Ltd."
"Kathmandu","Sulikot Engineering Consultancy and Construction (P) Ltd"
"Kathmandu","Sunbridge Solar Nepal Pvt. Ltd."
"Kathmandu","Suryodaya Urja Pvt.Ltd Tokha 04,Kathandu"
"Kathmandu","Suva Suyog Suppliers and Constructions"
"Kathmandu","Swarnim-Babiro Mast J.V."
"Kathmandu","Synergy-Pradhan  JV"
"Kathmandu","TDR-Jugal J/V, Koteshwor Kathmandu"
"Kathmandu","THE SUPREME NIRMAN SEWA PVT. LTD."
"Kathmandu","Tej Trading, Balaju,Kathmandu"
"Kathmandu","Tej Tradinng and Construction"
"Kathmandu","Thani Nirman Sewa Pvt  Ltd"
"Kathmandu","Thani Nirman Sewa Pvt Ltd"
"Kathmandu","Thani Nirman Sewa Pvt. Ltd."
"Kathmandu","Thani Nirman Sewa Pvt.Ltd"
"Kathmandu","Thani-Jagadamba J.V."
"Kathmandu","Thani-Kali-Himshikhar JV"
"Kathmandu","The Kanchanjunga-Kanchanjunga J.V"
"Kathmandu","Three Star Construction"
"Kathmandu","Threestar Construction"
"Kathmandu","Trishuli/Ashraya JV"
"Kathmandu","Triyak Construction Pvt.Ltd."
"Kathmandu","Tulasi Engineering and construction pvt. ltd."
"Kathmandu","Tuwachung-Anshubi-Nepal Fulbari JV"
"Kathmandu","Tuwachung-Rujan JV"
"Kathmandu","Tuwachung-Rujan-Jagadamba JV"
"Kathmandu","Ujyalo Nirman Sewa"
"Kathmandu","Uma-Himshikhar-Lekhraj JV"
"Kathmandu","Uma-Thani JV"
"Kathmandu","Uma-Thani-Lekhraj JV"
"Kathmandu","Uma/Thani JV,"
"Kathmandu","Upper Tamakoshi - J.K. J.V.,"
"Kathmandu","Upper Tamakoshi-J.K. JV"
"Kathmandu","Urja-Krishav JV"
"Kathmandu","Urja-Masta JV"
"Kathmandu","World Distribution Nepal Pvt Ltd"
"Kathmandu","World wide - Susan J.V"
"Kathmandu","Worldwide-Dhulikhel JV"
"Kathmandu","Yalina Nirman Sewa & Suppliers Pvt.Ltd"
"Kathmandu","Yati Construction"
"Kathmandu","Yati Construtions"
"Kathmandu","Yati Cosnstructions"
"Kathmandu","Yubina Construction & Suppliers Pvt.Ltd"
"Kathmandu","Yubina Construction & Suppliers Pvt.Ltd."
"Kathmandu","Yuni  Global Constructions"
"Kathmandu","Yuni Global Construction"
"Kathmandu","aattreya/ purna chandra JV kamalamai, sindhuli"
"Kathmandu","binaya nirman sewa"
"Kathmandu","tough builders and suppliers pvt.ltd"
"Kathmandu","uchchakoti shree gorakhnath- bajarang J V"
"Kavrepalanchok","Dharma S Nirman Sewa"
"Kavrepalanchok","Greenhill Planner & Construction PVT.LTD."
"Kavrepalanchok","Hyulla engineering and construction pvt.ltd."
"Kavrepalanchok","Hyulsa Nirman Sewa"
"Kavrepalanchok","K.M.B. Construction and suppliers."
"Kavrepalanchok","Lama Pragati-Babiro JV"
"Kavrepalanchok","Mahabharat Nirman Sewa"
"Kavrepalanchok","R.S. Nirman Sewa"
"Kavrepalanchok","Zinlap Construction"
"Kavrepalanchok","green hill planner and construction pvt.ltd"
"Kavrepalanchok","national construction"
"Khotang","Acharya Sons Builders and Engineering Pvt.Ltd."
"Khotang","Dibyajyoti -ID-Swornim JV"
"Khotang","Dibyajyoti, ID, Swornim JV"
"Khotang","Mahadev Sthan Nirman Sewa"
"Khotang","Nepal Fulbari, ID, Swornim JV,"
"Khotang","Sajib Nirman Sewa Pvt Ltd"
"Khotang","Sugam Safal Construction Pvt. Ltd."
"Khotang","Super Saugat Suppliers & Construction Pvt. Ltd"
"Lalitpur","A.M. Construction Company (P.) Ltd"
"Lalitpur","Ajambari Nirman Sewa"
"Lalitpur","Beacon Construction Pvt. Ltd."
"Lalitpur","DR Construction"
"Lalitpur","Doko Consultant and Construction Pvt.Ltd"
"Lalitpur","Doko Consultant&Construction pvt.ltd."
"Lalitpur","Drama Construction Company P.Ltd"
"Lalitpur","Frontline Builder's and Designers Pvt.Ltd."
"Lalitpur","G. and H. Construction Pvt.Ltd."
"Lalitpur","I.B. Pandey Construction Pvt.Ltd."
"Lalitpur","KC-EG Infra- Hanuman JV"
"Lalitpur","Kharidhunga/ Golmeshwor JV"
"Lalitpur","Laxmi Nirman Sewa"
"Lalitpur","M/S C.A.B./Nati JV"
"Lalitpur","M/S Tayal Brothers Pvt.Ltd. Lalitpur"
"Lalitpur","Maharjan Nirman Sewa."
"Lalitpur","Malikarjun Construction"
"Lalitpur","Nextgen Solutions Pvt Ltd"
"Lalitpur","Pahad Shrinkhala Construction"
"Lalitpur","Raman-PR-Niriksha JV"
"Lalitpur","Rayamajhi – Lumbini J/V"
"Lalitpur","Saptapath Nirman Sewa"
"Lalitpur","Shaksham Nirman Sewa"
"Lalitpur","Shanti Infrastructure Pvt.Ltd.,"
"Lalitpur","Shuvam Construction"
"Lalitpur","Sky Line Construction"
"Lalitpur","World Wide – Sushan - Lord Buddha J/V"
"Lamjung","Karki-Adhikari Joint Venture"
"Lamjung","Nana/ Dixit J.V"
"Lamjung","Parajuli Construction Pvt. Ltd."
"Lamjung","Shivashakti/Adhikari J.V"
"Lamjung","Shree Krishna Nirman Sewa"
"Lamjung","Siddhi Binayak Nirman Sewa"
"Mahotari","M.P. Constructions"
"Mahotari","M.P. Constructions,"
"Mahottari","Naman Constructions"
"Makwanpur","ASC Construction and Multiporpose Company Pvt.Ltd"
"Makwanpur","Baniya Nirman Sewa Pvt.Ltd"
"Makwanpur","D.S. Construction Company Pvt. Ltd.,"
"Makwanpur","Dragon-Niriksha JV"
"Makwanpur","Hamro Katuwal Construction"
"Makwanpur","Karki Builders/ Laligurans Construction J.V"
"Makwanpur","M/S Quality Infrastructure Developers Pvt.Ltd. Hetauda-11, Makawanpur."
"Makwanpur","M/S Seti Devi Construction"
"Makwanpur","M/s Indra Nirman Company Pvt. Ltd"
"Makwanpur","Maharudra Construction"
"Makwanpur","Mrit Sanjiwoni Nirman sewa Pvt. Ltd"
"Makwanpur","New Bhutandevi Construction"
"Makwanpur","SATGUN NIRMAN SEWA"
"Makwanpur","Shivalaya Builders"
"Manang","Gyalsumdo Construction & Suppliers Company"
"Morang","Karki Bandhu Construction Pvt. Ltd."
"Morang","Kedia Water House Pvt. Ltd."
"Morang","Maa Om Birat / East Nepal JV"
"Morang","Masud Nirman Sewa Pvt. Ltd."
"Morang","Namuna Construction Private Limited"
"Morang","R.K. Builders"
"Morang","S.A.S Construction Pvt. Ltd."
"Morang","Shivam Electro Mechanical Center"
"Morang","Swaminarayan-Kala JV"
"Morang","swaminarayan-shrestha J.V"
"Mugu","KTS Nirman Sewa"
"Municipality","Bhusan Rai"
"Municipality","Dimand Kurumbang"
"Municipality","Khem Nath Dangal"
"Municipality","SK Nirmaan Sewa"
"Myagdi","Himalayan-Khushi Hom JV"
"Myagdi","Muktinath Highway Construction - Kaligandaki Nirman Sewa JV"
"Myagdi","Ramkrishna/Somras J.V."
"Myagdi","Uttarganda Nirman Sewa"
"Naybazaar","Subha Construction PVt.Ltd NayBazaar"
"Nepal","Dogadayu Dristi Nirman Sewa"
"Nepal","Himsagarmatha-Kripa-Royal JV"
"Nepal","K.C. Brothers"
"Nepal","Nawayuga Construction Pvt.Ltd"
"Nepal","Tamakoshi-Bijay JV"
"Nuwakot","Ishan Nirman Sewa Kispang- 3, Nuwakot"
"Nuwakot","K.P Construction Udhyog"
"Nuwakot","Rashuwa Engineering and Santosh JV"
"Nuwakot","S.A. Nirman Sewa Pvt Ltd"
"Nuwakot","S.A.\B.M.\Shailendra JV"
"Nuwakot","Shailendra Nirman Sewa"
"Nuwakot","Tribani and Trishuli/ Dream City J/V"
"Nuwakot","binaya nirman sewa"
"Panchthar","Ale Nirman Sewa Pvt Ltd"
"Panchthar","Ale Nirman Sewa(pvt.)ltd"
"Panchthar","DHULIKHEL/MUBEN J.V"
"Panchthar","Godar Nirman Sewa"
"Panchthar","M/S Joshi/Sanjeev J.V"
"Panchthar","Yakthumhang-Ale J.V"
"Panchthar","Yakthumhang-S.A.S J.V"
"Parasi","A.B.Sworgadwari Engineering Consultancy and Construction pvt.ltd."
"Parasi","A.K Nirman Sewa"
"Parasi","Durga Constructions"
"Parasi","Jay Bagrangwali Nirman Sewa"
"Parasi","KAT Construction"
"Parasi","KAT Engineering Construction"
"Parasi","Kashyap-Mahesh-Satyawati J V"
"Parasi","Kashyap-Mahesh-Satyawati JV"
"Parasi","M/S Navin Auto Care Pvt.Ltd , Kawasoti Hall Chowk"
"Parasi","Mahesh-Satyawati-Srijana-JV"
"Parasi","Navin Construction,"
"Parasi","Navin Construction,Jahada-06,Nawalparasi"
"Parasi","riddhi siddhi constructions"
"Parsa","M/S Papu Construction Pvt.Ltd."
"Parsa","New Deep Jyoti- Taj JV"
"Parsa","Sagar Nirman Sewa"
"Pyuthan","Amod Nirman Sewa"
"Pyuthan","Bhandari Nirman Sewa"
"Pyuthan","Binayak nirman sewa"
"Pyuthan","Divya Shakti Nirman Sewa"
"Pyuthan","Dream Destination Construction"
"Pyuthan","Kakshapati Nirman Sewa"
"Pyuthan","M.H.Pushpakendra Engineering and Construction pvt.ltd"
"Pyuthan","Padma Construction"
"Pyuthan","Purnima Construction"
"Pyuthan","Saptapath-Lekali JV"
"Pyuthan","Sharma Nirman Sewa"
"Ramechhap","BRS Construction"
"Ramechhap","Gaduwari Nirman Sewa"
"Ramechhap","Gorkha Construction Pvt Ltd"
"Ramechhap","Jaya Krishna Builders Pvt. Ltd."
"Ramechhap","Khampache/Nile/Ramechhap JV"
"Ramechhap","Luminious-Naulo Safal JV"
"Ramechhap","M/s L.S.Construction (Shyam Thapa)"
"Ramechhap","Sailung Nirman Sewa,"
"Ramechhap","Sulochan & Sukriti Nirman Sewa"
"Ramechhap","siddhakali nirman  sewa"
"Rasuwa","Karmi Dada Nirman Sewa"
"Rasuwa","Nabajanukadevi-New Tech-Sundaradevi JV"
"Rasuwa","Nabajanukadevi-New Teh JV"
"Rasuwa","Nabjanukadevi-New Tech JV"
"Rasuwa","Uttargaya Construction Pvt. Ltd"
"Rautaht","Dhiraj Nirman Sewa"
"Rautaht","Rajdevi bhakt Construction pvt. Ltd."
"Rautaht","Samagra construtions and sappiers pvt. ltd"
"Rolpa","De Bishesh Tara Nirman sewa"
"Rolpa","Harihari/ Sharmila JV, Rolpa"
"Rolpa","Jaljala Nirman Sewa and Suppliers"
"Rolpa","Narayan Gopal Engineering Construction and Suppliers"
"Rolpa","P.L Nirman Sewa"
"Rolpa","P.L. Nirman Sewa"
"Rolpa","Rivit Nirman Sewa"
"Rolpa","Sambhav Engineering and Construction Company"
"Rolpa","Sharmila Construction Sewa"
"Rolpa","Sharmila-Asian Engineering JV"
"Rolpa","Shubham Nirman Sewa"
"Rukum West","Digree Saikumari Suppliers and Construction Bahusewa"
"Rukum West","Himshikhar Construction Sewa"
"Rukum West","Juction Nirman Sewa & Suppliers Pvt.Ltd"
"Rukum West","Juction Nirman Sewa and Suppliers P. Ltd."
"Rukum West","M.B. Group Pvt. Ltd"
"Rukum West","M.B. Group Pvt. Ltd."
"Rukum West","MB Group Pvt.Ltd."
"Rukum West","Nirmaal Nirman Sewa"
"Rukum West","R.Kho Magar Construction"
"Rukum West","Sani Bheri Nirman Sewa And Suppliers Pvt. Ltd."
"Rukum West","Santos Nirman Sewa"
"Rukum West","Shaikumari Engineering Consultancy Pvt.Ltd."
"Rukum West","Shaikumari Engineering Consultancy Pvt.Ltd. ."
"Rukum West","Sharpakot Construction and Suppliers Pvt. Ltd."
"Rukum West","Shashi Nirman Sewa & Shashi Suppliers"
"Rupandehi","AEBC/Amar JV"
"Rupandehi","ASIATIC-RIJAL JV"
"Rupandehi","Aayam Nirman Sewa Tilottama -11,Rupandehi"
"Rupandehi","Afjal-tyson JV"
"Rupandehi","Akriti-Rocket JV"
"Rupandehi","Arghakhanchi-Lumbini J.V."
"Rupandehi","Asiatic Engineers and Builders"
"Rupandehi","Asiatic-Araniko J/V"
"Rupandehi","Asiatic-Das J/V"
"Rupandehi","Asiyali Construction & Services"
"Rupandehi","BATAJU-ASIYALI JV"
"Rupandehi","Babul Nirman Sewa"
"Rupandehi","Babul-Narayan J/V"
"Rupandehi","Baishnavi Nirman Sewa, Bagha-2, Chanauli, Rupandehi"
"Rupandehi","Blue Ladder Construction"
"Rupandehi","Brave Construction"
"Rupandehi","Butwal Technomart"
"Rupandehi","C.M. / Maa Gayatri J-V, Siddharthanagar -13, Rupandehi"
"Rupandehi","Chandi Nirman Sewa, Chotkawa, Maryadpur, Rupandehi"
"Rupandehi","Cm-Sagun J/v ,"
"Rupandehi","Darsan Malika Builders Pvt Ltd"
"Rupandehi","Darsan malika Builders Pvt.Ltd."
"Rupandehi","Dirghayu Construction & suppliers Pvt Ltd"
"Rupandehi","Himshikha Construction Pvt.Ltd."
"Rupandehi","Inter Tech Pvt. Ltd."
"Rupandehi","Jana Sewa Construction Pvt.Ltd"
"Rupandehi","Jay Deurali Nirman Sewa"
"Rupandehi","Laxmi and Sujal Nirman Sewa"
"Rupandehi","Lumbini Engineering Works Pvt Ltd"
"Rupandehi","M/S Anjana-Asiatic-Rijal JV"
"Rupandehi","M/S Himal/PTR Adhikari JV"
"Rupandehi","M/S Lumbini Construction Pvt. Ltd."
"Rupandehi","M/S PTR Adhikari/Kamal JV"
"Rupandehi","M/s Asiyali-Lumbini JV"
"Rupandehi","M/s Pradip Construction"
"Rupandehi","MAHESH-BATAJU JV"
"Rupandehi","Mrita Sanjiwoni/Karna/Sagun JV"
"Rupandehi","Mukti Construction Pvt.Ltd."
"Rupandehi","Narayan Basyal"
"Rupandehi","Ojash Construction"
"Rupandehi","Panta Nirman Sewa"
"Rupandehi","Pradip Construction"
"Rupandehi","Pradip/Rayamajhi JV"
"Rupandehi","Prakritik Nirman Pvt.Ltd."
"Rupandehi","Prakritik Nirman Sewa"
"Rupandehi","Pream Paudel"
"Rupandehi","RA construction"
"Rupandehi","Rajan Nirman Sewa"
"Rupandehi","Rayamajhi asiactiv jv"
"Rupandehi","Rayamajhi-Nim Construction J/V"
"Rupandehi","Rayamajhi-Pradip J.V."
"Rupandehi","S.K. Engineering industries"
"Rupandehi","SHARMA- SAGARMATHA-SAGUN J.V."
"Rupandehi","Safik Nirman Sewa,Si.Na.Pa.-11,Rupandehi"
"Rupandehi","Sagun Construction"
"Rupandehi","Sagun Construction Pvt. Ltd"
"Rupandehi","Sahani Builders"
"Rupandehi","Satyawati Construction Pvt.Ltd"
"Rupandehi","Shishir Barsha Construction Pvt. Ltd."
