fiscal_year,source_level,target_level,target_name,grant_type,amount
2082/83,Federal,Province,Gandaki Province,Complementary,3000000000.0
2082/83,Federal,Province,Lumbini Province,Equalization,7000000000.0
2082/83,Federal,Province,Lumbini Province,Conditional,8000000000.0
2082/83,Federal,Province,Lumbini Province,Special,6000000000.0
2082/83,Federal,Province,Lumbini Province,Complementary,4000000000.0
2082/83,Federal,Province,Karnali Province,Equalization,9000000000.0
2082/83,Federal,Province,Karnali Province,Conditional,7000000000.0
2082/83,Federal,Province,Karnali Province,Special,7000000000.0
2082/83,Federal,Province,Karnali Province,Complementary,3000000000.0
2082/83,Federal,Province,Sudurpashchim Province,Equalization,9000000000.0
2082/83,Federal,Province,Sudurpashchim Province,Conditional,6000000000.0
2082/83,Federal,Province,Sudurpashchim Province,Special,4000000000.0
2082/83,Federal,Province,Sudurpashchim Province,Complementary,4000000000.0
2082/83,Federal,Local,Kathmandu Metropolitan City,Equalization,1407000000.0
2082/83,Federal,Local,Kathmandu Metropolitan City,Conditional,337000000.0
2082/83,Federal,Local,Kathmandu Metropolitan City,Special,224000000.0
2082/83,Federal,Local,Kathmandu Metropolitan City,Complementary,354000000.0
2082/83,Federal,Local,Lalitpur Metropolitan City,Equalization,1699000000.0
2082/83,Federal,Local,Lalitpur Metropolitan City,Conditional,1598000000.0
2082/83,Federal,Local,Lalitpur Metropolitan City,Special,384000000.0
2082/83,Federal,Local,Lalitpur Metropolitan City,Complementary,540000000.0
2082/83,Federal,Local,Pokhara Metropolitan City,Equalization,1806000000.0
2082/83,Federal,Local,Pokhara Metropolitan City,Conditional,352000000.0
2082/83,Federal,Local,Pokhara Metropolitan City,Special,166000000.0
2082/83,Federal,Local,Pokhara Metropolitan City,Complementary,474000000.0
2082/83,Federal,Local,Bharatpur Metropolitan City,Equalization,1530000000.0
2082/83,Federal,Local,Bharatpur Metropolitan City,Conditional,908000000.0
2082/83,Federal,Local,Bharatpur Metropolitan City,Special,106000000.0
2082/83,Federal,Local,Bharatpur Metropolitan City,Complementary,263000000.0
2082/83,Federal,Local,Biratnagar Metropolitan City,Equalization,2253000000.0
2082/83,Federal,Local,Biratnagar Metropolitan City,Conditional,1743000000.0
2082/83,Federal,Local,Biratnagar Metropolitan City,Special,350000000.0
2082/83,Federal,Local,Biratnagar Metropolitan City,Complementary,519000000.0
2082/83,Federal,Local,Butwal Sub Metropolitan City,Equalization,1901000000.0
2082/83,Federal,Local,Butwal Sub Metropolitan City,Conditional,1594000000.0
2082/83,Federal,Local,Butwal Sub Metropolitan City,Special,372000000.0
2082/83,Federal,Local,Butwal Sub Metropolitan City,Complementary,358000000.0
2082/83,Federal,Local,Hetauda Sub Metropolitan City,Equalization,1838000000.0
2082/83,Federal,Local,Hetauda Sub Metropolitan City,Conditional,1269000000.0
2082/83,Federal,Local,Hetauda Sub Metropolitan City,Special,332000000.0
2082/83,Federal,Local,Hetauda Sub Metropolitan City,Complementary,350000000.0
2082/83,Federal,Local,Ghorahi Sub Metropolitan City,Equalization,2452000000.0
2082/83,Federal,Local,Ghorahi Sub Metropolitan City,Conditional,611000000.0
2082/83,Federal,Local,Ghorahi Sub Metropolitan City,Special,90000000.0
2082/83,Federal,Local,Ghorahi Sub Metropolitan City,Complementary,205000000.0
2082/83,Federal,Local,Tansen Municipality,Equalization,1705000000.0
2082/83,Federal,Local,Tansen Municipality,Conditional,715000000.0
2082/83,Federal,Local,Tansen Municipality,Special,354000000.0
2082/83,Federal,Local,Tansen Municipality,Complementary,186000000.0
2082/83,Federal,Local,Dhangadhi Sub Metropolitan City,Equalization,1777000000.0
2082/83,Federal,Local,Dhangadhi Sub Metropolitan City,Conditional,815000000.0
2082/83,Federal,Local,Dhangadhi Sub Metropolitan City,Special,86000000.0
2082/83,Federal,Local,Dhangadhi Sub Metropolitan City,Complementary,191000000.0
2082/83,Federal,Local,Dharan Sub Metropolitan City,Equalization,2118000000.0
2082/83,Federal,Local,Dharan Sub Metropolitan City,Conditional,1873000000.0
2082/83,Federal,Local,Dharan Sub Metropolitan City,Special,274000000.0
2082/83,Federal,Local,Dharan Sub Metropolitan City,Complementary,127000000.0
2082/83,Federal,Local,Shuklagandaki Municipality,Equalization,874000000.0
2082/83,Federal,Local,Shuklagandaki Municipality,Conditional,471000000.0
2082/83,Federal,Local,Shuklagandaki Municipality,Special,106000000.0
2082/83,Federal,Local,Shuklagandaki Municipality,Complementary,562000000.0
2082/83,Federal,Local,Bhaktapur Municipality,Equalization,1348000000.0
2082/83,Federal,Local,Bhaktapur Municipality,Conditional,991000000.0
2082/83,Federal,Local,Bhaktapur Municipality,Special,121000000.0
2082/83,Federal,Local,Bhaktapur Municipality,Complementary,139000000.0
2082/83,Federal,Local,Waling Municipality,Equalization,1078000000.0
2082/83,Federal,Local,Waling Municipality,Conditional,723000000.0
2082/83,Federal,Local,Waling Municipality,Special,353000000.0
2082/83,Federal,Local,Waling Municipality,Complementary,466000000.0
2082/83,Federal,Local,Annapurna Rural Municipality,Equalization,2936000000.0
2082/83,Federal,Local,Annapurna Rural Municipality,Conditional,1640000000.0
2082/83,Federal,Local,Annapurna Rural Municipality,Special,86000000.0
2082/83,Federal,Local,Annapurna Rural Municipality,Complementary,550000000.0
2082/83,Federal,Local,Machhapuchhre Rural Municipality,Equalization,1695000000.0
2082/83,Federal,Local,Machhapuchhre Rural Municipality,Conditional,1339000000.0
2082/83,Federal,Local,Machhapuchhre Rural Municipality,Special,105000000.0
2082/83,Federal,Local,Machhapuchhre Rural Municipality,Complementary,419000000.0
2082/83,Federal,Local,Madi Rural Municipality,Equalization,2044000000.0
2082/83,Federal,Local,Madi Rural Municipality,Conditional,1758000000.0
2082/83,Federal,Local,Madi Rural Municipality,Special,261000000.0
2082/83,Federal,Local,Madi Rural Municipality,Complementary,261000000.0
